,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
3184,105,City of Chicago,532,PRECINCT 5 WARD 32,PULASKI SCHOOL ANNEX BUILDING,PUBLIC SCHOOL,2230 WMCLEAN AVE,-1,Chicago,-1.0,60647,Y,-87.683846,41.9188445
3185,105,City of Chicago,650,PRECINCT 6 WARD 50,GLENCREST NURSING CTR,BUSINESS,2451 WTOUHY AVE,-1,Chicago,-1.0,60645,Y,-87.6921108,42.0117885
3186,105,City of Chicago,714,PRECINCT 7 WARD 14,ST RICHARD PARISH CENTER,CHURCH,5030 SKOSTNER AVE,-1,Chicago,-1.0,60632,Y,-87.7335311,41.8014901
3187,105,City of Chicago,817,PRECINCT 8 WARD 17,SAMS AUTO SALES,BUSINESS,6815 SWESTERN AVE,-1,Chicago,-1.0,60636,Y,-87.6829693,41.7695171
3188,105,City of Chicago,930,PRECINCT 9 WARD 30,ST LADISLAUS PARISH,CHURCH,5345 WROSCOE ST,-1,Chicago,-1.0,60641,N,-87.761213,41.9420256
3189,105,City of Chicago,950,PRECINCT 9 WARD 50,PHILIP ROGERS SCHOOL,PUBLIC SCHOOL,7345 NWASHTENAW AVE,-1,Chicago,-1.0,60643,Y,-87.69665409999999,42.0152618
3190,105,City of Chicago,1049,PRECINCT 10 WARD 49,ROGERS PK LIBRARY,LIBRARY,6907 NCLARK ST,-1,Chicago,-1.0,60626,Y,-87.673177,42.0070817
3191,105,City of Chicago,1209,PRECINCT 12 WARD 9,TULEY PARK,PARK DISTRICT FIELD HOUSE,501 E90TH PL,-1,Chicago,-1.0,60619,N,-87.6112026,41.73012809999999
3192,105,City of Chicago,1228,PRECINCT 12 WARD 28,TRUTH & DELIVERANCE CHURCH,CHURCH,3 SLARAMIE AVE,-1,Chicago,-1.0,60644,Y,-87.75477950000001,41.8764518
3193,105,City of Chicago,1231,PRECINCT 12 WARD 31,EMPTY STORE FRONT,BUSINESS,3424 NCICERO AVE,-1,Chicago,-1.0,60641,Y,-87.7471794,41.9432678
3194,105,City of Chicago,1319,PRECINCT 13 WARD 19,RIDGE PARK,PARK DISTRICT FIELD HOUSE,9625 SLONGWOOD DR,-1,Chicago,-1.0,60643,Y,-87.6678994,41.717701
3195,105,City of Chicago,1350,PRECINCT 13 WARD 50,WARREN PARK,PARK DISTRICT FIELD HOUSE,6601 NWESTERN AVE,-1,Chicago,-1.0,60645,Y,-87.6890062,42.0021787
3196,105,City of Chicago,1425,PRECINCT 14 WARD 25,C A S L SENIOR HOUSING,APARTMENT BUILDING,2108 SPRINCETON AVE,-1,Chicago,-1.0,60616,Y,-87.6362633,41.853901
3197,105,City of Chicago,1643,PRECINCT 16 WARD 43,LINCOLN PK BR LIBRARY,LIBRARY,1150 WFULLERTON AVE,-1,Chicago,-1.0,60614,Y,-87.6581886,41.9255299
3198,105,City of Chicago,1926,PRECINCT 19 WARD 26,WEST PARK ACADEMY,PUBLIC SCHOOL,1425 NTRIPP AVE,-1,Chicago,-1.0,60651,Y,-87.7321137,41.90686350000001
3199,105,City of Chicago,1929,PRECINCT 19 WARD 29,COLUMBUS PARK REFECTORY,PARK DISTRICT FIELD HOUSE,5701 WJACKSON BV,-1,Chicago,-1.0,60644,Y,-87.768633,41.876444
3200,105,City of Chicago,1933,PRECINCT 19 WARD 33,CEVICHE PERUVIAN RESTURANT,BUSINESS,2554 WDIVERSEY AVE,-1,Chicago,-1.0,60647,Y,-87.6925928,41.9324723
3201,105,City of Chicago,2043,PRECINCT 20 WARD 43,CENACLE CONVENT,CHURCH,513 WFULLERTON PKWY,-1,Chicago,-1.0,60614,Y,-87.6421257,41.9248517
3202,105,City of Chicago,2045,PRECINCT 20 WARD 45,JEFFERSON PARK,PARK DISTRICT FIELD HOUSE,4822 NLONG AVE,-1,Chicago,-1.0,60630,N,-87.7636067,41.9686735
